feature,coefficient
numeric__age,0.597206749522326
numeric__POMC,0.9517174000668637
numeric__DGLUCY,0.8586760464845626
numeric__PCSK1,0.6369099225605878
numeric__LAMP2,0.6419966944800299
numeric__LEP,0.5884715759674997
gender__gender_male,-0.6083871372775672
